Tipo Titulo,Data Vencimento,Data Base,PU Base Manha,Juros
Tesouro Prefixado,2006-01-01,2005-02-02,851.37,19.30248103377494
Tesouro Prefixado,2005-07-01,2005-02-02,930.55,19.29703836809289
Tesouro Prefixado,2005-04-01,2005-02-02,973.47,18.45069007401876
Tesouro Selic,2009-03-18,2005-02-02,2159.45,0.68116535029441
Tesouro Selic,2008-06-18,2005-02-02,2168.0,0.75126551559765
Tesouro Selic,2007-01-17,2005-02-02,2184.85,1.02340722360294
Tesouro Selic,2005-02-16,2005-02-02,2194.16,55.697841622289744
Tesouro Prefixado,2005-10-01,2005-02-02,888.25,19.67349549189496
Tesouro Prefixado,2006-01-01,2005-02-03,852.3,19.22263485977751
Tesouro Prefixado,2005-07-01,2005-02-03,931.21,19.23054209516486
Tesouro Selic,2007-01-17,2005-02-03,2186.32,1.0008374142246699
Tesouro Selic,2008-06-18,2005-02-03,2169.47,0.73789908441872
Tesouro Selic,2009-03-18,2005-02-03,2160.92,0.6701407798985
Tesouro Selic,2005-02-16,2005-02-03,2195.63,59.013977425825146
Tesouro Selic,2006-01-18,2005-02-03,2192.72,1.84019290396033
Tesouro Prefixado,2005-04-01,2005-02-03,974.08,18.327157906296552
Tesouro Prefixado,2005-10-01,2005-02-03,889.02,19.60525556098431
Tesouro Prefixado,2006-07-01,2005-02-03,785.66,18.73854124162888
Tesouro Selic,2008-06-18,2005-02-04,2170.95,0.72442711490836
Tesouro Selic,2007-01-17,2005-02-04,2187.79,0.9782254269371
Tesouro Prefixado,2006-07-01,2005-02-04,788.79,18.44195480777093
Tesouro Selic,2005-02-16,2005-02-04,2197.09,62.98928667212134
Tesouro Prefixado,2005-10-01,2005-02-04,890.14,19.46479895715305
Tesouro Prefixado,2006-01-01,2005-02-04,853.8,19.054749397642528
Tesouro Prefixado,2005-04-01,2005-02-04,974.8,18.1126838715615
Tesouro Prefixado,2005-07-01,2005-02-04,932.08,19.096630257896198
Tesouro Selic,2009-03-18,2005-02-04,2162.39,0.65911055903251
Tesouro Selic,2006-01-18,2005-02-04,2194.19,1.79611571075331
Tesouro Prefixado,2005-04-01,2005-02-09,975.47,19.46684242424816
Tesouro Prefixado,2005-07-01,2005-02-09,932.83,19.58411317602568
Tesouro Prefixado,2005-10-01,2005-02-09,890.92,19.755820722636187
Tesouro Prefixado,2006-01-01,2005-02-09,854.58,19.251585955829288
Tesouro Prefixado,2006-07-01,2005-02-09,789.6,18.552127889961078
Tesouro Selic,2009-03-18,2005-02-09,2163.87,0.64973253467768
Tesouro Selic,2008-06-18,2005-02-09,2172.42,0.71336970555375
